GDA	1.947306
SCN3A	1.6901569
SCN3B	1.5979106
RPLP2	0.5395532
BTBD1	0.87419355
BTBD2	1.6567885
BTBD3	1.7276942
RPLP1	1.4337983
ACAA2	2.0501711
TMEFF2	1.7416022
TMEFF1	0.66816795
SCN2B	1.4506289
TFPT	1.0873529
BARHL1	0.30521935
UGCG	1.7920965
SCN2A	2.5779028
BARHL2	1.4446636
BTBD7	0.39685562
GEM	1.3083881
OR1S2	0.4519793
BTBD9	2.6771607
BTBD8	0.41805035
OR1S1	0.54136217
TFPI	1.3222106
HSD11B1	1.397723
ACAA1	0.62525165
SCN1A	0.67633545
RALGPS2	2.5606673
SCN1B	0.22892721
RALGPS1	1.8144579
T	1.6197888
ATN1	0.40527606
FAIM	0.303731
ACACA	1.8703101
GGH	0.850473
OR1Q1	1.7629592
PPAPDC1A	1.3580304
ZSCAN4	1.3483344
SULT6B1	0.3430398
ACACB	1.1438756
ZSCAN1	0.12268626
ZSCAN2	1.4071573
GH2	0.05655495
GNGT1	2.489321
GNGT2	0.82768905
PARP9	0.6245193
PARP8	1.9621753
POP1	1.0559124
PARP6	0.90239567
POP4	0.9633711
PARP4	0.9710223
PARP1	2.1080167
POP5	0.66554624
ACAD11	0.29473513
PARP2	1.1847544
ACAD10	0.49976352
GFAP	0.76145214
BCKDK	0.18422309
CYP2G1P	1.0866101
MGRN1	1.2274582
ANP32A	0.7972393
AMY2B	1.6848696
AMY2A	2.2787666
GHR	1.326058
PARVG	1.8303256
AIFM3	0.45717457
MTERF	1.9438578
GIP	0.49770948
ANP32B	1.1972947
AIFM2	1.0012612
ANP32C	3.2290008
ANP32D	1.4718549
SNORA32	0.8093882
ANP32E	0.9542859
SLC3A2	0.7068585
GIF	0.7859513
SLC3A1	1.1547159
BRWD1	1.8119156
BRWD2	2.5069604
FANCD2	0.12609841
AMY1C	3.070581
PARVB	1.6615435
PARVA	1.6265363
SCML4	1.5570501
MDS2	1.5858626
PTOV1	0.5534628
MDS1	2.782253
ECEL1	0.69357497
GK2	1.5149888
UGDH	1.7972393
OFCC1	1.9065783
POT1	2.021363
CCT6B	1.3162327
PARS2	0.7977842
DHCR7	1.5379016
GK5	1.6394066
ATRN	1.2211978
MANBA	1.5205686
SPATA2L	0.22966357
QRFPR	1.4933597
SPATA20	0.17314805
OR1J2	0.62543494
OR1J1	2.2564902
OR1J4	1.6838199
NR2E3	0.13141434
NR2E1	0.24070996
CTNNBL1	0.7535014
NLRC5	1.8941493
NUDCD3	0.42608455
NLRC4	2.169668
NLRC3	0.8279812
ATG5	1.6522797
GALR1	3.0046282
NUDCD1	0.9076303
ATG7	0.48386142
SPATA21	0.45469287
SPATA22	0.4156688
NET1	2.405718
BCL10	1.3463053
B3GNTL1	1.5281218
FADD	1.7838341
IL11RA	0.6165437
SPATA18	0.87354386
SPATA19	1.6869769
SPATA16	1.4845235
SPATA17	1.3419886
NEU1	1.0095724
SPATA12	0.1470323
NEU3	1.188425
SPATA13	1.804931
NEU2	1.2026632
NEU4	0.87909716
ARHGDIG	0.15347733
ST8SIA1	1.3706924
TFEB	1.544546
ST8SIA3	1.097725
ST8SIA2	1.4981195
NR2C2	3.0190427
ATF1	0.90483063
EPM2AIP1	0.4309774
NR2C1	0.3445734
ATF2	0.9710223
QSER1	1.6074789
TFEC	4.49026
